UserID,SegmentID,Start,End,# Interactions,# Documents Opened,Opened Documents,OpenDuration,# Documents Read,Read Documents,ReadDuration,# Documents Dragged,Dragged Documents,DraggingDuration,Most Read Document,# Highlighted,Highlighted Words,HighlightingDuration,# Searched,Searched Words,SearchDuration
1,31,2485.1,2651.9,11,2,['Armsdealing 56' 'Armsdealing 70'],52.9,2,['Armsdealing 55'],96.4,5,['Armsdealing 56' 'Armsdealing 70'],4.3,Armsdealing 55,1,['/Dubai/Burj-Al-Arab'],1,1,['dubai'],1
1,32,2651.9,2661.3,2,1,['Armsdealing 52'],54.7,0,[],0,1,['Armsdealing 52'],0.9,NA,0,[],0,0,[],0
1,33,2661.3,2819.3,17,3,['Armsdealing 25' 'Armsdealing 55'],259.7,5,['Armsdealing 25' 'Armsdealing 52'],125.4,6,['Armsdealing 25' 'Armsdealing 52'],5,Armsdealing 25,2,"['Dubai', 'Dubai.']",2,1,['textbook'],1
1,34,2819.3,3107.2,30,5,['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 55'],221.6,11,['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 25'],153.3,10,"['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 25' 'Armsdealing 52'
 'Armsdealing 55']",17.3,Armsdealing 10,3,"['textbook', 'textbook', 'textbooks']",3,1,['textbook'],1
1,35,3107.2,3344.7,29,7,"['Armsdealing 12' 'Armsdealing 2' 'Armsdealing 36' 'Armsdealing 43'
 'Armsdealing 49' 'Armsdealing 55']",180.3,8,['Armsdealing 12' 'Armsdealing 2' 'Armsdealing 49'],90.9,9,"['Armsdealing 12' 'Armsdealing 2' 'Armsdealing 36' 'Armsdealing 43'
 'Armsdealing 49']",10.7,Armsdealing 49,2,"['Transaction Identification Number:\nFrom: EBILAEAD 51 0568 8001 1575 1710 0\nTo:\tSA80 8000 0375 6080 2632 0160\nDate: 11-11-08 15:56:19\nAmount:\tSAR1325548.3458', 'Transaction Identification Number:\nFrom: EBILAEAD 51 0568 8001 1575 1710 0\nTo:\tABNAPKKACKH 4230-1840-001194396527\nDate: 02-11-08 11:29:16\nAmount:\tPAK1571649.15']",2,3,"['basra', 'bukhari', 'death']",3
1,36,3344.7,3777.5,56,13,"['Armsdealing 25' 'Armsdealing 28' 'Armsdealing 29' 'Armsdealing 4'
 'Armsdealing 56' 'Armsdealing 70' 'Armsdealing 75' 'Armsdealing 76'
 'Armsdealing 8']",1953.5,16,['Armsdealing 28' 'Armsdealing 29' 'Armsdealing 8'],215,22,"['Armsdealing 12' 'Armsdealing 28' 'Armsdealing 29' 'Armsdealing 4'
 'Armsdealing 56' 'Armsdealing 70' 'Armsdealing 75' 'Armsdealing 76'
 'Armsdealing 8']",29.8,Armsdealing 29,2,"['Burj ', 'Burj']",2,3,"['hospital', 'burj', 'kasem']",3
1,37,3777.5,3973,19,3,['Armsdealing 41' 'Armsdealing 45' 'Armsdealing 57'],143.9,8,"['Armsdealing 28' 'Armsdealing 4' 'Armsdealing 41' 'Armsdealing 45'
 'Armsdealing 57']",154.7,7,"['Armsdealing 28' 'Armsdealing 4' 'Armsdealing 41' 'Armsdealing 45'
 'Armsdealing 57']",13,Armsdealing 4,0,[],0,1,['khouri'],1
1,38,3973,4002.5,3,1,['Armsdealing 26'],51.8,0,[],0,1,['Armsdealing 26'],0.7,NA,0,[],0,1,['dubai'],1
1,39,4002.5,4244.4,26,6,"['Armsdealing 11' 'Armsdealing 15' 'Armsdealing 26' 'Armsdealing 30'
 'Armsdealing 70']",751.8,10,['Armsdealing 26' 'Armsdealing 30' 'Armsdealing 70'],101.2,8,['Armsdealing 11' 'Armsdealing 15' 'Armsdealing 26' 'Armsdealing 30'],10.3,Armsdealing 30,1,['Dubai '],1,1,['nahid'],1
1,40,4244.4,4347.6,16,2,['Armsdealing 53' 'Armsdealing 74'],10.7,7,['Armsdealing 100' 'Armsdealing 30' 'Armsdealing 70' 'Armsdealing 74'],41.9,5,['Armsdealing 100' 'Armsdealing 53' 'Armsdealing 74'],10.1,Armsdealing 30,0,[],0,2,"['george', 'funsho']",2
